time,data_queue_size,fuel_valve_setpoint,fuel_valve_velocity,fuel_valve_acceleration,fuel_valve_nsec_per_pulse,lox_valve_setpoint,lox_valve_velocity,lox_valve_acceleration,lox_valve_nsec_per_pulse,pt102,pt103,pto401,pt202,pt203,ptf401,ptc401,ptc402,Thrust_Pred_lbf,OF_Pred,mdot_f,mdot_lox
0.092,0,81,0.00348687,0,55008,74,-24.99681282,0,952642,593.759096924204,639.23656539741,598.137100807667,797.797415521167,766.136397244046,745.834518708696,210.379479033497,215.99804687,631.095144021841,1.15412953484733,0.667637145223687,0.770539747863813
0.093,0,81,0.00348687,0,55008,74,20.00318336,44999.9921875,958268,598.60938266636,635.70154736081,594.110827449733,796.81063308556,754.958251309788,733.900515967559,209.775305526885,216.97460937,631.075595528979,1.16714050551285,0.661255326884763,0.771777876493351
0.094,0,81,0.00348687,0,55008,74,20.00318336,0,1217937,598.264378133987,644.360392259184,602.60999809607,787.435527035272,762.279897471948,741.331989924541,210.733958809588,217.46289062,629.733896109791,1.1563246403371,0.665102986797544,0.769074971995805
0.095,0,81,0.00348687,0,55008,74,20.00318336,0,1217937,603.499179772715,641.444864411296,601.287304303791,796.200597325629,757.205776871551,736.457368342806,210.508431745834,216.73046875,629.939337072871,1.1627630392563,0.662173101535888,0.769950408055637
0.096,0,81,0.00348687,0,55008,74,20.00318336,0,1217937,594.594699585465,639.041507099437,598.173103681134,793.013993349737,758.878005059091,737.407928948639,212.865179339951,218.43945312,628.834289015643,1.16106207639802,0.661758418424354,0.76834260336965
0.097,0,81,0.00348687,0,55008,74,20.00318336,0,1217937,598.018712205269,643.104557963299,603.607083282869,790.541733137947,769.875914611664,748.102636027476,213.391670607485,220.63671875,628.801898490677,1.14808267005897,0.668073874781335,0.7670040379556
0.098,0,81,0.00348687,0,55008,74,20.00318336,0,1217937,603.771500626979,641.72766001651,600.614864522371,791.262249622623,760.04685516992,738.993162610215,215.561171299587,219.90429687,626.715852869658,1.1581812111769,0.66083233523338,0.765363594405455
0.099,0,81,0.00348687,0,55008,74,20.00318336,0,1217937,605.33554691164,652.50161591059,610.698613346168,795.156638718043,755.809355721503,734.387387221166,214.071307673335,220.88085937,625.470804555357,1.15902732060392,0.659162848668382,0.763987750333759
0.1,0,81,0.00348687,0,55008,74,20.00318336,0,6018275,607.219922651622,646.038882981804,605.895179086315,794.69901078244,762.631039362848,741.828533361259,214.395766610954,221.36914062,627.034378596574,1.15430062242642,0.663103835073794,0.765421169559025
0.101,0,81,0.00348687,0,55008,74,20.00318336,0,6018275,608.728783210713,647.821105392227,607.784151112058,794.886719539931,750.73165088021,729.426634976205,215.234316529983,221.36914062,625.154057786724,1.16613972641906,0.655355138961466,0.76423566245585
0.102,0,81,0.00348687,0,55008,74,20.00318336,0,6018275,599.491931782855,651.658714585272,610.614520676002,788.296128669269,755.762174088399,734.795836876195,217.1897429869,221.125,623.571071696814,1.15864371414511,0.65723413575279,0.761500200111562
0.103,0,81,0.00348687,0,55008,74,20.00318336,0,6018275,610.783784851812,644.556462612295,603.544017673868,792.789512014446,749.405743608063,728.691635831243,214.938321172963,221.125,625.797666579745,1.16887620868183,0.654724619564891,0.765292031047664
0.104,0,81,0.00348687,0,55008,74,20.00318336,0,6018275,609.413435264275,646.093940148696,604.994760085785,797.515595270972,769.319821594234,747.818793723186,219.772865750258,223.81054687,624.020537935438,1.14569940660197,0.663896617390993,0.760625960589915
0.105,0,81,0.00348687,0,55008,74,20.00318336,0,6018275,611.331996485274,655.356209093868,614.095732996404,791.539007056767,757.234308024093,736.832869058146,219.75627814806,222.83398437,621.274236655455,1.15480596794809,0.656566032843823,0.758206373080045
0.106,0,81,0.00348687,0,55008,74,-24.99681282,-44999.9921875,6002642,612.49900332336,657.087895576973,614.43579562224,792.545005285866,751.37006826616,730.439911523888,220.007207047477,225.03125,620.232111733362,1.16030332679738,0.652820300500117,0.757469566471148
0.107,0,81,0.00348687,0,55008,74,-24.99681282,0,6002642,614.369481491727,663.049021457189,622.57659699117,793.788325689468,754.988710338683,734.024699685057,218.407214949067,226.0078125,620.235162985667,1.15376895626908,0.656018215324351,0.756893451588283
0.108,0,81,0.00348687,0,55008,74,-24.99681282,0,6002642,616.086700430402,658.638790172507,618.234612956377,791.191878642805,756.377953670671,734.838744000225,221.838818152533,225.27539062,619.14316633348,1.15369925224123,0.654768542490937,0.755405977862876
0.109,0,81,0.00348687,0,55008,74,-24.99681282,0,2803468,617.440888131807,653.2501216607,612.228976086733,798.517803241205,762.635525131094,741.607175975468,223.2192511145,226.49609375,619.886761044777,1.14903109363043,0.657748816107101,0.75577384150566
0.11,0,81,0.00348687,0,55008,74,-24.99681282,0,979377,618.27038193938,658.649300129971,617.576440629391,794.259003077716,761.433258945549,740.597433148093,222.251910006992,225.51953125,619.326352346645,1.14817371140439,0.657605570039753,0.755045427992743
